Recipe_id,Ingrediente,Cantidad,Unidad,Indice,Grams,Total_Grams,Num_comensales,Category
73756,champiñón,250.0,gramos,614,1.0,250.0,1.0,Verduras
73756,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
73756,huevo,2.0,unidad,150,65.0,130.0,1.0, Huevos
73756,nata,150.0,mililitros,35,1.0,150.0,1.0,Lácteos
73756,queso,50.0,gramos,77,1.0,50.0,1.0,Lácteos
73756,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
73756,aceite de oliva,1.0,chorro,410,2.0,2.0,1.0,Grasas y Aceites
73269,harina,180.0,gramos,482,1.0,180.0,1.0,Cereales
73269,mantequilla,60.0,gramos,419,1.0,60.0,1.0,Grasas y Aceites
73269,agua,3.0,cucharadas soperas,766,17.0,51.0,1.0,Bebidas
73269,sal,0.5,cucharada,908,10.0,5.0,1.0,Otros
72928,pollo,6.0,None,242,291.87387,414.96438,1.0,Pollo
72928,maíz,12.0,None,637,187.16456,200.75773,1.0,Verduras
72928,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
72928,tomate,270.0,gramos,667,1.0,270.0,1.0,Verduras
72928,chile,1.0,taza,853,150.0,150.0,1.0,Otros
72928,aceite,1.0,cucharada sopera,409,17.0,17.0,1.0,Grasas y Aceites
72928,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
72928,pimienta,1.0,pizca,901,1.0,1.0,1.0,Otros
72927,atún,3.0,latas,282,330.0,990.0,1.0,Pescado
72927,chile,2.0,None,853,213.26316,74.64712,1.0,Otros
72927,tomate,2.0,tazas,667,150.0,300.0,1.0,Verduras
72927,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
72927,perejil,1.0,taza,899,150.0,150.0,1.0,Otros
72927,limón,2.0,unidad,937,48.0,96.0,1.0,Frutas
72927,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
72927,pimienta,1.0,pizca,901,1.0,1.0,1.0,Otros
72923,harina,20.0,None,482,42.43284,127.10995,1.0,Cereales
72923,carne picada,500.0,gramos,168,1.0,500.0,1.0,Carne
72923,tomate,3.0,unidad,667,150.0,450.0,1.0,Verduras
72923,patata,3.0,unidad,643,200.0,600.0,1.0,Patata
72923,cebolla,1.5,unidad,610,100.0,150.0,1.0,Verduras
72923,chile,2.0,None,853,213.26316,74.64712,1.0,Otros
72923,zanahoria,3.0,unidad,672,100.0,300.0,1.0,Verduras
72923,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
72923,pimienta,1.0,pizca,901,1.0,1.0,1.0,Otros
72923,aceite,1.0,taza,409,150.0,150.0,1.0,Grasas y Aceites
72692,acelga,1.0,unidad,583,150.0,150.0,1.0,Verduras
72692,mantequilla,2.0,cucharadas soperas,419,17.0,34.0,1.0,Grasas y Aceites
72692,harina,2.0,cucharadas soperas,482,17.0,34.0,1.0,Cereales
72692,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
72692,huevo,2.0,unidad,150,65.0,130.0,1.0, Huevos
72692,pan rallado,1.0,bolsa,507,69.01117,0.0,1.0,Cereales
72692,leche,300.0,mililitros,27,1.0,300.0,1.0,Lácteos
72311,arroz,1.0,taza,428,150.0,150.0,1.0,Arroz
72311,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
72311,ajo,3.0,dientes,587,3.0,9.0,1.0,Verduras
72311,piñón,2.0,cucharadas,571,10.0,20.0,1.0,Legumbres
72311,tomate,3.0,unidad,667,150.0,450.0,1.0,Verduras
72311,acelga,1.0,taza,583,150.0,150.0,1.0,Verduras
72311,espinaca,,unidad,628,150.0,308.13188,1.0,Verduras
72311,harina,0.5,taza,482,150.0,75.0,1.0,Cereales
72311,arroz,1.0,taza,428,150.0,150.0,1.0,Arroz
72311,aceite,1.0,chorro,409,2.0,2.0,1.0,Grasas y Aceites
72311,sal,1.0,cucharadita,908,7.0,7.0,1.0,Otros
72311,nuez moscada,0.5,cucharadita,891,7.0,3.5,1.0,Otros
72311,pan rallado,0.5,taza,507,150.0,75.0,1.0,Cereales
67262,jamón de york,2.0,filetes,935,140.0,280.0,1.0,Carne
67262,queso,2.0,lonchas,77,17.0,34.0,1.0,Lácteos
67262,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
67262,harina,,None,482,42.43284,127.10995,1.0,Cereales
67262,cerveza,,None,781,270.23636,319.04464,1.0,Bebidas
67262,sal,,None,908,6.95504,9.4185,1.0,Otros
72126,masa de hojaldre,1.0,None,485,96.29412,132.02899,1.0,Cereales
72126,calabacín,1.0,unidad,603,300.0,300.0,1.0,Verduras
72126,zanahoria,1.0,unidad,672,100.0,100.0,1.0,Verduras
72126,puerro,1.0,unidad,653,150.0,150.0,1.0,Verduras
72126,nata,1.0,None,35,98.72374,200.70735,1.0,Lácteos
72126,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
72126,sal,,None,908,6.95504,9.4185,1.0,Otros
72126,pimienta,,None,901,1.67918,2.15641,1.0,Otros
72126,espinaca,1.0,unidad,628,150.0,150.0,1.0,Verduras
72126,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
72126,gamba,,None,337,91.0625,230.41848,1.0,Pescado
66092,masa de hojaldre,1.0,lámina,485,10.0,10.0,1.0,Cereales
66092,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
66092,pimiento rojo,1.0,unidad,651,150.0,150.0,1.0,Verduras
66092,pimiento,1.0,unidad,650,75.0,75.0,1.0,Verduras
66092,sal,,None,908,6.95504,9.4185,1.0,Otros
66092,tomate,,unidad,667,150.0,365.45861,1.0,Verduras
66092,pollo,3.0,filetes,242,140.0,420.0,1.0,Pollo
66092,aceite de oliva,1.0,chorro,410,2.0,2.0,1.0,Grasas y Aceites
65997,melocotón en almíbar,1.0,lata,705,330.0,330.0,1.0,Frutas
65997,lechuga,0.25,unidad,634,150.0,37.5,1.0,Verduras
65997,cangrejo,1.0,paquete,318,227.11111,0.0,1.0,Pescado
65997,aguacate,0.5,None,675,334.0,18.21429,1.0,Frutas
65997,mayonesa,,al gusto,886,46.46995,71.03123,1.0,Otros
71629,galleta,75.0,gramos,469,1.0,75.0,1.0,Cereales
71629,mantequilla,50.0,gramos,419,1.0,50.0,1.0,Grasas y Aceites
71629,salmón ahumado,100.0,gramos,383,1.0,100.0,1.0,Pescado
71629,queso,100.0,gramos,77,1.0,100.0,1.0,Lácteos
71629,queso,200.0,gramos,77,1.0,200.0,1.0,Lácteos
71629,salmón,1.0,tarro,382,250.0,250.0,1.0,Pescado
71629,cebollino,1.0,rama,613,50.0,50.0,1.0,Verduras
71598,champiñón,12.0,unidad,614,20.0,240.0,1.0,Verduras
71598,aceite,2.0,latas,409,330.0,660.0,1.0,Grasas y Aceites
71598,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
71598,queso,50.0,gramos,77,1.0,50.0,1.0,Lácteos
71598,aceite de oliva,1.0,chorro,410,2.0,2.0,1.0,Grasas y Aceites
71598,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
71586,champiñón,16.0,unidad,614,20.0,320.0,1.0,Verduras
71586,gamba,350.0,gramos,337,1.0,350.0,1.0,Pescado
71586,ajo,2.0,dientes,587,3.0,6.0,1.0,Verduras
71586,aceite de oliva,4.0,cucharadas soperas,410,17.0,68.0,1.0,Grasas y Aceites
71586,perejil,1.0,puñado,899,100.0,100.0,1.0,Otros
71577,jamón de york,12.0,lonchas,935,17.0,204.0,1.0,Carne
71577,queso,12.0,lonchas,77,17.0,204.0,1.0,Lácteos
71577,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
71577,pan rallado,100.0,gramos,507,1.0,100.0,1.0,Cereales
71577,aceite,1.0,vaso,409,250.0,250.0,1.0,Grasas y Aceites
65812,patata,4.0,unidad,643,200.0,800.0,1.0,Patata
65812,queso,200.0,gramos,77,1.0,200.0,1.0,Lácteos
65812,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
65812,pan rallado,25.0,gramos,507,1.0,25.0,1.0,Cereales
65812,sal,,None,908,6.95504,9.4185,1.0,Otros
65812,aceite,,None,409,77.3929,98.75302,1.0,Grasas y Aceites
71354,mejillon,1.0,lata,348,330.0,330.0,1.0,Pescado
71354,surimi,3.0,None,927,187.75,470.0,1.0,Otros
71354,queso fresco,150.0,gramos,71,1.0,150.0,1.0,Lácteos
65485,champiñón,1.0,unidad,614,20.0,20.0,1.0,Verduras
65485,queso,1.0,paquete,77,40.8327,0.0,1.0,Lácteos
65485,pavo,1.0,puñado,226,100.0,100.0,1.0,Carne
65485,queso cabrales,,None,48,1.0,125.0,1.0,Lácteos
65485,queso,1.0,puñado,77,100.0,100.0,1.0,Lácteos
70862,seta,300.0,gramos,663,1.0,300.0,1.0,Verduras
70862,leche,150.0,mililitros,27,1.0,150.0,1.0,Lácteos
70862,yogur,75.0,mililitros,131,1.0,75.0,1.0,Lácteos
70862,zumo de limón,1.0,chorro,834,2.0,2.0,1.0,Bebidas
70862,sal,1.0,cucharadita,908,7.0,7.0,1.0,Otros
70862,harina,150.0,gramos,482,1.0,150.0,1.0,Cereales
70862,pimienta negra,1.0,pizca,902,1.0,1.0,1.0,Otros
70862,pimentón,1.0,cucharadita,900,7.0,7.0,1.0,Otros
70862,ajo,1.0,cucharadita,587,7.0,7.0,1.0,Verduras
70862,pimienta,0.5,cucharadita,901,7.0,3.5,1.0,Otros
70862,cebolla,1.0,cucharadita,610,7.0,7.0,1.0,Verduras
70772,masa de hojaldre,1.0,lámina,485,10.0,10.0,1.0,Cereales
70772,champiñón,300.0,gramos,614,1.0,300.0,1.0,Verduras
70772,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
70772,ajo,2.0,dientes,587,3.0,6.0,1.0,Verduras
70772,tomillo,1.0,cucharada,930,10.0,10.0,1.0,Otros
70772,mantequilla,1.0,cucharada sopera,419,17.0,17.0,1.0,Grasas y Aceites
70772,pimienta negra,1.0,pizca,902,1.0,1.0,1.0,Otros
70772,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
70772,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
70669,cebolla,0.5,unidad,610,100.0,50.0,1.0,Verduras
70669,champiñón,12.0,unidad,614,20.0,240.0,1.0,Verduras
70669,garbanzo,5.0,cucharadas soperas,550,17.0,85.0,1.0,Legumbres
70669,agua,5.0,cucharadas soperas,766,17.0,85.0,1.0,Bebidas
70669,sal,0.5,cucharadita,908,7.0,3.5,1.0,Otros
70669,aceite de oliva,1.0,cucharada sopera,410,17.0,17.0,1.0,Grasas y Aceites
70669,puerro,0.5,unidad,653,150.0,75.0,1.0,Verduras
70669,maíz,1.0,cucharada sopera,637,17.0,17.0,1.0,Verduras
70669,piñón,1.0,puñado,571,100.0,100.0,1.0,Legumbres
70669,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
70648,masa de hojaldre,1.0,lámina,485,10.0,10.0,1.0,Cereales
70648,queso,1.0,barra,77,250.0,250.0,1.0,Lácteos
70648,miel,1.0,chorro,761,2.0,2.0,1.0,Azúcar
70648,nuez,1.0,puñado,569,100.0,100.0,1.0,Legumbres
70648,mantequilla,,None,419,19.38722,69.79875,1.0,Grasas y Aceites
70472,atún,1.0,lata,282,330.0,330.0,1.0,Pescado
70472,queso,150.0,g,77,1.0,150.0,1.0,Lácteos
70472,perejil,2.0,cucharadas soperas,899,17.0,34.0,1.0,Otros
70472,aceite de oliva,1.0,cucharada sopera,410,17.0,17.0,1.0,Grasas y Aceites
70472,pimienta negra,1.0,pizca,902,1.0,1.0,1.0,Otros
70472,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
70424,masa de hojaldre,2.0,láminas,485,10.0,20.0,1.0,Cereales
70424,jamón de york,4.0,lonchas,935,17.0,68.0,1.0,Carne
70424,queso,4.0,lonchas,77,17.0,68.0,1.0,Lácteos
70424,maíz,1.0,lata,637,330.0,330.0,1.0,Verduras
70424,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
69399,ajo,8.0,dientes,587,3.0,24.0,1.0,Verduras
69399,pollo,500.0,gramos,242,1.0,500.0,1.0,Pollo
69399,aceite de oliva,4.0,cucharadas soperas,410,17.0,68.0,1.0,Grasas y Aceites
69399,romero,1.0,rama,906,50.0,50.0,1.0,Otros
69399,vino tinto,1.0,mililitro,828,1.0,1.0,1.0,Bebidas
69399,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
69399,pimienta negra,1.0,None,902,1.75047,1.69896,1.0,Otros
69399,hojaldre,1.0,lámina,880,10.0,10.0,1.0,Otros
69399,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
69609,harina,1.3333333333333333,gramos,482,1.0,1.33333,1.0,Cereales
69609,mantequilla,85.0,gramos,419,1.0,85.0,1.0,Grasas y Aceites
69609,agua,50.0,mililitros,766,1.0,50.0,1.0,Bebidas
69609,sal,1.0,cucharada,908,10.0,10.0,1.0,Otros
69609,salmón,500.0,gramos,382,1.0,500.0,1.0,Pescado
69609,puerro,1.0,unidad,653,150.0,150.0,1.0,Verduras
69609,tomate,2.0,unidad,667,150.0,300.0,1.0,Verduras
69609,huevo,4.0,unidad,150,65.0,260.0,1.0, Huevos
69609,leche,1.0,None,27,191.71125,261.45553,1.0,Lácteos
69609,romero,2.0,ramas,906,50.0,100.0,1.0,Otros
69609,aceite de oliva,1.0,cucharada sopera,410,17.0,17.0,1.0,Grasas y Aceites
69609,queso mozzarella,150.0,gramos,86,1.0,150.0,1.0,Lácteos
69609,pimienta negra,1.0,pizca,902,1.0,1.0,1.0,Otros
69609,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
69109,harina de avena,1.0,taza,477,150.0,150.0,1.0,Cereales
69109,agua,100.0,mililitros,766,1.0,100.0,1.0,Bebidas
69109,sal,1.0,cucharada,908,10.0,10.0,1.0,Otros
69109,mantequilla,1.0,cucharada sopera,419,17.0,17.0,1.0,Grasas y Aceites
69109,pollo,,al gusto,242,291.87387,414.96438,1.0,Pollo
69109,queso,,al gusto,77,40.8327,134.04148,1.0,Lácteos
69109,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
68693,espinaca,1.0,unidad,628,150.0,150.0,1.0,Verduras
68693,huevo,3.0,unidad,150,65.0,195.0,1.0, Huevos
68693,leche,200.0,mililitros,27,1.0,200.0,1.0,Lácteos
68693,queso,4.0,cucharadas soperas,77,17.0,68.0,1.0,Lácteos
68693,queso,100.0,gramos,77,1.0,100.0,1.0,Lácteos
68693,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
68693,pimienta,1.0,pizca,901,1.0,1.0,1.0,Otros
68693,aceite,1.0,chorro,409,2.0,2.0,1.0,Grasas y Aceites
68702,calabaza,300.0,gramos,605,1.0,300.0,1.0,Verduras
68702,dátil,6.0,unidad,687,10.0,60.0,1.0,Frutas
68702,cacao,3.0,cucharadas soperas,772,17.0,51.0,1.0,Bebidas
68702,leche de almendra,3.0,cucharadas soperas,17,17.0,51.0,1.0,Lácteos
68702,vainilla,0.5,cucharadita,931,7.0,3.5,1.0,Otros
68335,cacahuete,3.0,tazas,541,150.0,450.0,1.0,Legumbres
68335,sal,1.0,cucharadita,908,7.0,7.0,1.0,Otros
67805,huevo,2.0,unidad,150,65.0,130.0,1.0, Huevos
67805,pollo,300.0,gramos,242,1.0,300.0,1.0,Pollo
67805,harina,75.0,gramos,482,1.0,75.0,1.0,Cereales
67805,leche,800.0,mililitros,27,1.0,800.0,1.0,Lácteos
67805,aceite,3.0,cucharadas soperas,409,17.0,51.0,1.0,Grasas y Aceites
67805,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
67805,nuez moscada,1.0,pizca,891,1.0,1.0,1.0,Otros
67805,harina,75.0,gramos,482,1.0,75.0,1.0,Cereales
67805,huevo,3.0,unidad,150,65.0,195.0,1.0, Huevos
67805,pan rallado,300.0,gramos,507,1.0,300.0,1.0,Cereales
68047,harina,250.0,gramos,482,1.0,250.0,1.0,Cereales
68047,huevo,2.0,unidad,150,65.0,130.0,1.0, Huevos
68047,aceite,1.0,cucharada,409,10.0,10.0,1.0,Grasas y Aceites
68047,sal,1.0,pizca,908,1.0,1.0,1.0,Otros
68047,leche,300.0,mililitros,27,1.0,300.0,1.0,Lácteos
68047,mantequilla,1.0,trozo,419,100.0,100.0,1.0,Grasas y Aceites
67993,masa de hojaldre,2.0,láminas,485,10.0,20.0,1.0,Cereales
67993,tomate frito,1.0,None,929,123.76923,144.28579,1.0,Otros
67993,aceite,4.0,latas,409,330.0,1320.0,1.0,Grasas y Aceites
67993,huevo,3.0,unidad,150,65.0,195.0,1.0, Huevos
67993,huevo,1.0,unidad,150,65.0,65.0,1.0, Huevos
67758,jamón de york,8.0,gramos,935,1.0,8.0,1.0,Carne
67758,mantequilla,100.0,gramos,419,1.0,100.0,1.0,Grasas y Aceites
67758,mostaza,10.0,mililitros,890,1.0,10.0,1.0,Otros
67758,pan,8.0,rebanadas,491,60.0,480.0,1.0,Cereales
67758,lechuga,1.0,unidad,634,150.0,150.0,1.0,Verduras
67766,boniato,2.0,unidades,599,382.57143,0.0,1.0,Verduras
67766,calabacín,2.0,unidad,603,300.0,600.0,1.0,Verduras
67766,sal,0.5,cucharadita,908,7.0,3.5,1.0,Otros
67766,pimienta,1.0,pizca,901,1.0,1.0,1.0,Otros
67766,pan rallado,0.5,taza,507,150.0,75.0,1.0,Cereales
67735,champiñón,350.0,gramos,614,1.0,350.0,1.0,Verduras
67735,mantequilla,25.0,gramos,419,1.0,25.0,1.0,Grasas y Aceites
67735,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
67735,leche,1.0,vaso,27,250.0,250.0,1.0,Lácteos
67735,limón,,unidad,937,48.0,78.11833,1.0,Frutas
67735,pimentón,0.5,cucharadita,900,7.0,3.5,1.0,Otros
67735,sal,0.5,cucharadita,908,7.0,3.5,1.0,Otros
67735,pimienta negra,1.0,pizca,902,1.0,1.0,1.0,Otros
67735,nuez moscada,1.0,pizca,891,1.0,1.0,1.0,Otros
67740,ternera,200.0,gramos,264,1.0,200.0,1.0,Carne
67740,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
67740,aceite de oliva,2.0,cucharadas soperas,410,17.0,34.0,1.0,Grasas y Aceites
67740,harina,8.0,cucharadas soperas,482,17.0,136.0,1.0,Cereales
67740,leche,1.0,litro,27,1000.0,1000.0,1.0,Lácteos
67740,sal,,al gusto,908,6.95504,9.4185,1.0,Otros
67740,huevo,2.0,unidad,150,65.0,130.0,1.0, Huevos
67740,pan rallado,100.0,gramos,507,1.0,100.0,1.0,Cereales
67740,aceite de girasol,,None,404,106.58015,173.43893,1.0,Grasas y Aceites
67458,trigo,4.0,None,529,135.25,196.06667,1.0,Cereales
67458,arroz,2.0,gramos,428,1.0,2.0,1.0,Arroz
67458,alubia,2.0,tazas,535,150.0,300.0,1.0,Legumbres
67458,cebolla,1.0,unidad,610,100.0,100.0,1.0,Verduras
67458,ajo,2.0,dientes,587,3.0,6.0,1.0,Verduras
67458,maíz,1.0,taza,637,150.0,150.0,1.0,Verduras
67458,apio,1.0,tallo,593,250.0,250.0,1.0,Verduras
